"filename", "language", "JSON", "C++", "JavaScript", "Markdown", "JavaScript JSX", "CMake", "XML", "PostCSS", "HTML", "Dotenv", "MS SQL", "Properties", "YAML", "Dart", "Swift", "comment", "blank", "total"
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\frontend\vite.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-client\backend-client\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 4, 20
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-client\backend-client\package-lock.json", "JSON", 1870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1871
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-client\backend-client\src\controllers\authController.js", "JavaScript", 0, 0, 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 58, 439
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 22, 4, 29
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\android\app\google-services.json", "JSON", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
